,message,lebel
31,Yeah got 2 v apologetic . n fallen actin like spoilt child got caught . Till 2 ! wo n't go ! badly cheer . ?,0
32,K tell anything .,0
33,fear fainting housework ? Quick cuppa,0
34,Thanks subscription Ringtone UK mobile charged ï¿½5/month Please confirm replying YES . reply charged,1
35,Yup ... Ok go home look timing msg ï¿½_ ... Xuhui going learn 2nd may lesson 8am,0
36,"Oops , 'll let know roommate 's done",0
37,see letter B car,0
38,Anything lor ... U decide ...,0
39,Hello ! 's saturday go ? texting see 'd decided anything tomo . 'm trying invite anything !,0
40,Pls go ahead watt . wanted sure . great weekend . Abiola,0
41,"forget tell ? want , need , crave ... ... love sweet Arabian steed ... Mmmmmm ... Yummy",0
42,07732584351 - Rodger Burns - MSG = tried call reply sm free nokia mobile + free camcorder . Please call 08000930705 delivery tomorrow,1
43,SEEING ?,0
44,Great ! hope like man well endowed . & lt ; # & gt ; inch ...,0
45,call .. message .. missed call,0
46,n't get hep b immunisation nigeria .,0
47,"Fair enough , anything going ?",0
48,"Yeah hopefully , tyler ca n't could maybe ask around bit",0
49,U n't know stubborn . n't even want go hospital . kept telling Mark 'm weak sucker . Hospitals weak sucker .,0
50,thinked . First time saw class .,0
51,"gram usually run like & lt ; # & gt ; , half eighth smarter though get almost whole second gram & lt ; # & gt ;",0
52,K fyi x ride early tomorrow morning 's crashing place tonight,0
53,"Wow . never realized embarassed accomodations . thought liked , since best could always seemed happy \the cave\ `` . 'm sorry n't n't give . 'm sorry offered . 'm sorry room embarassing . ``",0
54,SMS . ac Sptv : New Jersey Devils Detroit Red Wings play Ice Hockey . Correct Incorrect ? End ? Reply END SPTV,1
55,know Mallika Sherawat yesterday ? Find @ & lt ; URL & gt ;,0
56,"Congrats ! 1 year special cinema pas 2 . call 09061209465 ! C Suprman V , Matrix3 , StarWars3 , etc 4 FREE ! bx420-ip4-5we . 150pm . Dont miss !",1
57,"Sorry , 'll call later meeting .",0
58,Tell reached,0
59,Yes .. gauti sehwag odi series .,0
60,gon na pick $ 1 burger way home . ca n't even move . Pain killing .,0
61,Ha ha ha good joke . Girls situation seeker .,0
62,part checking IQ,0
63,"Sorry roommate took forever , ok come ?",0
64,Ok lar double check wif da hair dresser already said wun cut v short . said cut look nice .,0
65,"valued customer , pleased advise following recent review Mob . awarded ï¿½1500 Bonus Prize , call 09066364589",1
66,Today \song dedicated day .. \ `` song u dedicate ? Send ur valuable frnds first rply ... ``,0
67,"Urgent UR awarded complimentary trip EuroDisinc Trav , Aco & Entry41 ï¿½1000 . claim txt DIS 87121 18+6 * ï¿½1.50 ( moreFrmMob . ShrAcomOrSglSuplt ) 10 , LS1 3AJ",1
68,hear new \Divorce Barbie\ `` ? come Ken 's stuff ! ``,0
69,plane give month end .,0
70,Wah lucky man ... save money ... Hee ...,0
71,Finished class .,0
72,HI BABE IM HOME WAN NA SOMETHING ? XX,0
73,K .. k : ) ? performed ?,0
74,U call ...,0
75,waiting machan . Call free .,1
76,Thats cool . gentleman treat dignity respect .,0
77,like people much : ) shy pa .,0
78,operate & lt ; # & gt ;,0
79,. Still looking job . much Ta 's earn .,0
80,"Sorry , 'll call later",0
81,K. call ah ?,0
82,Ok way home hi hi,0
83,place man,0
84,Yup next stop .,0
85,"call later , n't network . urgnt , sm .",0
86,real u getting yo ? need 2 ticket one jacket 'm done . already used multis .,0
87,Yes started send request make pain came back 'm back bed . Double coin factory . got ta cash nitros .,0
88,'m really still tonight babe,0
89,"Ela kano . , il download , come wen ur free ..",0
90,Yeah ! Donï¿½ï¿½ï¿½t stand close tho- youï¿½ï¿½ï¿½ll catch something !,0
91,Sorry pain . ok meet another night ? spent late afternoon casualty mean n't done stuff42moro includes time sheet . Sorry .,0
92,Smile Pleasure Smile Pain Smile trouble pours like Rain Smile sum1 Hurts U Smile becoz SOMEONE still Loves see u Smiling ! !,0
93,Please call customer service representative 0800 169 6031 10am-9pm guaranteed ï¿½1000 cash ï¿½5000 prize !,1
94,Havent planning buy later . check already lido got 530 show e afternoon . U finish work already ?,0
95,free ringtone waiting collected . Simply text password \MIX\ `` 85069 verify . Get Usher Britney . FML,1
96,Watching telugu movie .. wat abt u ?,0
97,see . finish load loan pay,0
98,Hi . Wk ok - hols ! Yes bit run . Forgot hairdresser appointment four need get home n shower beforehand . cause prob u ? \ `` ham ``,0
99,Please n't text anymore . nothing else say .,0
100,Okay name ur price long legal ! Wen pick ? u ave x am xx,0
101,'m still looking car buy . gone 4the driving test yet .,0
102,per request 'Melle Melle ( Oru Minnaminunginte Nurungu Vettam ) ' set callertune Callers . Press * 9 copy friend Callertune,0
103,"wow . 're right ! n't mean . guess gave boston men changed search location nyc , something changed . Cuz signin page still say boston .",0
104,Umma life vava umma love lot dear,0
105,Thanks lot wish birthday . Thanks making birthday truly memorable .,0
106,"Aight , 'll hit get cash",0
107,would ip address test considering computer n't minecraft server,0
108,know ! Grumpy old people . mom like better lying . always one play joke ...,0
109,Dont worry . guess 's busy .,0
110,plural noun research ?,0
111,Going dinner.msg .,0
112,'m ok wif co like 2 try new thing . scared u dun like mah . Cos u said loud .,0
113,GENT ! trying contact . Last weekend draw show ï¿½1000 prize GUARANTEED . Call 09064012160 . Claim Code K52 . Valid 12hrs . 150ppm,1
114,"Wa , ur openin sentence formal ... Anyway , 'm fine , juz tt 'm eatin much n puttin weight ... Haha ... anythin special happened ?",0
115,"entered cabin PA said , `` Happy B'day Boss ! ! `` . felt special . askd 4 lunch . lunch invited apartment . went .",0
116,winner U specially selected 2 receive ï¿½1000 4 * holiday ( flight inc ) speak live operator 2 claim 0871277810910p/min ( 18+ ),1
117,Goodo ! Yes must speak friday - egg-potato ratio tortilla needed !,0
118,Hmm ... uncle informed 's paying school directly . pls buy food .,0
119,PRIVATE ! 2004 Account Statement 07742676969 show 786 unredeemed Bonus Points . claim call 08719180248 Identifier Code : 45239 Expires,1
120,"URGENT ! Mobile . awarded ï¿½2000 Bonus Caller Prize 5/9/03 final try contact U ! Call Landline 09064019788 BOX42WR29C , 150PPM",1
121,new address -apples & pair & malarky,0
122,Todays Voda number ending 7548 selected receive $ 350 award . match please call 08712300220 quoting claim code 4041 standard rate app,1
123,going sao mu today . done 12,0
124,ï¿½ï¿½ predict wat time ï¿½_ 'll finish buying ?,0
125,"Good stuff , .",0
126,"know , yetunde n't sent money yet . sent text bother sending . , dont involve anything . n't imposed anything first place , apologise .",0
127,room .,0
128,HEY GIRL . R U ? HOPE U R WELL DEL R BAK ! LONG TIME C ! GIVE CALL SUM TIME LUCYxx,0
129,K .. k : ) much cost ?,0
130,'m home .,0
131,"Dear , call Tmorrow.pls accomodate .",0
132,First answer question .,0
133,Sunshine Quiz Wkly Q ! Win top Sony DVD player u know country Algarve ? Txt ansr 82277. ï¿½1.50 SP : Tyrone,1
134,Want 2 get laid tonight ? Want real Dogging location sent direct 2 ur mob ? Join UK 's largest Dogging Network bt Txting GRAVEL 69888 ! Nt . ec2a . 31p.msg @ 150p,1
135,haf msn . 's yijue @ hotmail.com,0
136,. call meet,0
137,. check room befor activity,0
138,'ll rcv msg chat svc . FREE Hardcore service text GO : 69988 u get nothing u must Age Verify yr network & try,1
139,Got c ... lazy type ... forgot ï¿½_ lect ... saw pouch like v nice ...,0
140,"K , text 're way",0
141,"Sir , Waiting mail .",0
142,swt thought : \Nver get tired little thing 4 lovable person .. \ `` Coz .. somtimes little thing occupy biggest part Hearts .. Gud ni8 ``,0
143,know . pls open back ?,0
144,Yes see ya dot,0
145,Whats staff name taking class u ?,0
146,"FreeMsg n't replied text ? 'm Randy , sexy , female live local . Luv hear u. Netcollex Ltd 08700621170150p per msg reply Stop end",1
147,Ummma.will call check in.our life begin qatar pls pray hard .,0
148,K .. deleted contact ?,0
149,Sindu got job birla soft ..,0
150,wine flowing 'm nevering ..,0
151,Yup thk cine better co need 2 go 2 plaza mah .,0
152,Ok ... Ur typical reply ...,0
153,per request 'Melle Melle ( Oru Minnaminunginte Nurungu Vettam ) ' set callertune Callers . Press * 9 copy friend Callertune,0
154,"everywhere dirt , floor , window , even shirt . sometimes open mouth , come flowing . dream world without , half chore . time joy , lot tv show i.ll see . guess like thing must exist , like rain , hail mist , time done , become one .",0
155,Aaooooright work ?,0
156,'m leaving house ...,0
157,"Hello , love . ? get interview today ? happy ? good boy ? think ? missing ?",0
158,Customer service annoncement . New Years delivery waiting . Please call 07046744435 arrange delivery,1
159,winner U specially selected 2 receive ï¿½1000 cash 4 * holiday ( flight inc ) speak live operator 2 claim 0871277810810,1
160,Keep safe need miss already envy everyone see 's real life,0
161,New car house parent . : ) new job hand : ),0
162,'m love . 'm excited day spend . make happy .,0
163,-PLS STOP bootydelious ( 32/F ) inviting friend . Reply YES-434 NO-434 See : www.SMS.ac/u/bootydelious STOP ? Send STOP FRND 62468,1
164,"BangBabes Ur order way . U receive Service Msg 2 download UR content . U , GoTo wap . bangb . tv UR mobile internet/service menu",1
165,place ur point e culture module already .,0
166,URGENT ! trying contact . Last weekend draw show ï¿½900 prize GUARANTEED . Call 09061701939 . Claim code S89 . Valid 12hrs,1
167,"Hi frnd , best way avoid missunderstding wit beloved one 's ?",0
168,Great escape . fancy bridge need lager . See tomo,0
169,Yes : ) completely form : ) clark also utter waste .,0
170,"Sir , need AXIS BANK account bank address .",0
171,"Hmmm .. Thk sure got time hop ard ... Ya , go 4 free abt ... Muz call u discus liao ...",0
172,time coming later ?,0
173,"Bloody hell , cant believe forgot surname Mr . Ill give u clue , spanish begin ...",0
174,"Well , 'm gon na finish bath . good ... fine night .",0
175,Let know 've got money carlos make call,0
176,U still going mall ?,0
177,"Turns friend staying whole show wo n't back til ~ & lt ; # & gt ; , feel free go ahead smoke $ & lt ; # & gt ; worth",0
178,Text . doesnt reply let know log,0
179,Hi ! spoke MANEESHA V. 'd like know satisfied experience . Reply Toll Free Yes .,0
180,lifted hope offer money . need . Especially end month approach hurt studying . Anyways gr8 weekend,0
181,Lol . U trust .,0
182,ok . gentleman treat dignity respect .,0
183,", guy close ?",0
184,Going nothing great.bye,0
185,Hello handsome ! finding job ? lazy ? Working towards getting back net mummy ? 's boytoy ? miss ?,0
186,"Haha awesome , minute",0
187,Please call customer service representative FREEPHONE 0808 145 4742 9am-11pm guaranteed ï¿½1000 cash ï¿½5000 prize !,1
188,got Xmas radio time . get,0
189,jus reached home . go bathe first . si using net tell u finish k ...,0
190,unique enough ? Find 30th August . www.areyouunique.co.uk,1
191,'m sorry . 've joined league people dont keep touch . mean great deal . friend time even great personal cost . great week.|,0
192,Hi : ) finally completed course : ),0
193,stop . however suggest stay someone able give or every stool .,0
194,? Hope 've settled new school year . wishin gr8 day,0
195,Gud mrng dear hav nice day,0
196,u got person story,0
197,hamster dead ? Hey tmr meet 1pm orchard mrt ?,0
198,Hi Kate evening ? hope see tomorrow bit bloody babyjontet ! Txt back u . : ) xxx,0
199,"Found , ENC & lt ; # & gt ; , ?",0
200,sent & lt ; # & gt ; buck,0
201,Hello darlin ive finished college txt u finish u love Kate xxx,0
202,account refilled successfully INR & lt ; DECIMAL & gt ; . KeralaCircle prepaid account balance Rs & lt ; DECIMAL & gt ; . Transaction ID KR & lt ; # & gt ; .,0
203,Goodmorning sleeping ga .,0
204,U call alter 11 ok .,0
205,ï¿½ï¿½ say like dat dun buy ericsson oso oredi lar ...,0
206,"entered cabin PA said , `` Happy B'day Boss ! ! `` . felt special . askd 4 lunch . lunch invited apartment . went .",0
207,"Aight yo , dat straight dogg",0
208,please give u connection today & lt ; DECIMAL & gt ; refund bill,0
209,: ) shoot big load get ready !,0
210,"'s bruv , hope great break . rewarding semester .",0
211,Home always chat,0
212,K : ) k : ) good : ) study well .,0
213,Yup ... ï¿½_ noe leh ...,0
214,Sounds great ! home ?,0
215,Finally match heading towards draw prediction .,0
216,Tired . n't slept well past night .,0
217,Easy ah ? sen got selected mean good ..,0
218,take exam march 3,0
219,Yeah . think use gt atm register . sure 's anyway help let know . sure ready .,0
220,Ok prob . Take ur time .,0
221,o called ubandu run without installing hard disk ... use o copy important file system give repair shop ..,0
222,"Sorry , 'll call later",0
223,U say leh ... course nothing happen lar . say v romantic jus bit lor . thk e nite scenery nice leh .,0
224,"500 New Mobiles 2004 , MUST GO ! Txt : NOKIA : 89545 & collect today ! ï¿½1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1
225,Would really appreciate call . need someone talk .,0
226,"u meet ur dream partner soon ? ur career 2 flyng start ? 2 find free , txt HORO followed ur star sign , e. g. HORO ARIES",1
227,Hey company elama po mudyadhu .,0
228,"Life strict teacher ... Bcoz Teacher teach lesson & amp ; conduct exam , Life first conduct Exam & amp ; teach Lessons . Happy morning . . .",0
229,Dear good morning,0
230,Get gandhipuram walk cross cut road . Right side & lt ; # & gt ; street road turn first right .,0
231,Dear going rubber place,0
232,"Sorry battery died , yeah 'm",0
233,Yes : ) tv always available work place ..,0
234,Text & meet someone sexy today . U find date even flirt U . Join 4 10p . REPLY NAME & AGE eg Sam 25 . 18 -msg recd @ thirtyeight penny,1
235,printed oh . & lt ; # & gt ; come upstairs,0
236,ill little closer like bus stop street,0
237,? wil reach ?,0
238,"New Theory : Argument win SITUATION , loses PERSON . dont argue ur friend .. . . . kick & amp ; say , 'm always correct . !",0
239,U 447801259231 secret admirer looking 2 make contact U-find R * reveal think UR special-call 09058094597,1
240,Tomarrow final hearing laptop case cant .,0
241,PLEASSSSSSSEEEEEE TEL V AVENT DONE SPORTSx,0
242,"Okay . , shining . meant signing , sound better .",0
243,"Although told u dat 'm baig face watch really like e watch u gave co 's fr u. Thanx 4 everything dat u 've done today , 'm touched ...",0
244,U n't remember old commercial ?,0
245,late . said website . n't dont slipper,0
246,asked call ok,0
247,Kallis wont bat 2nd inning .,0
248,didnt work oh . Ok goodnight . I.ll fix ready time wake . dearly missed good night sleep .,0
249,Congratulations ur awarded 500 CD voucher 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC 87066 TnCs www.Ldew.com1win150ppmx3age16,1
250,Ranjith cal drpd Deeraj deepak 5min hold,0
251,"Wen ur lovable bcums angry wid u , dnt take seriously .. Coz angry childish n true way showing deep affection , care n luv ! .. kettoda manda ... nice day da .",0
252,? ?,0
253,"Ups 3days also , shipping company take 2wks . way usps take week get lag may bribe nipost get stuff .",0
254,"'m back , lem know 're ready",0
255,n't necessarily expect done get back though 'm headin,0
256,Mmm yummy babe ... Nice jolt suzy,0
257,lover ? need ...,0
258,tried contact reply offer Video Handset ? 750 anytime network min ? UNLIMITED TEXT ? Camcorder ? Reply call 08000930705,1
259,Iï¿½ï¿½ï¿½m parked next MINI ! ! ! ! coming today think ?,0
260,Yup,0
261,Anyway 'm going shopping . Cos si done yet . Dun disturb u liao .,0
262,. LUTON 0125698789 RING UR AROUND ! H *,0
263,Hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,1
264,Dint come u .,0
265,. Wana plan trip sometme,0
266,"sure yet , still trying get hold",0
267,Ur ringtone service changed ! 25 Free credit ! Go club4mobiles.com choose content ! Stop ? txt CLUB STOP 87070 . 150p/wk Club4 PO Box1146 MK45 2WT,1
268,evo . download flash . Jealous ?,0
269,Ringtone Club : Get UK single chart mobile week choose top quality ringtone ! message free charge .,1
270,"Come mu , 're sorting narcotic situation",0
271,"Night ended another day , morning come special way . May smile like sunny ray leaf worry blue blue bay .",0
272,HMV BONUS SPECIAL 500 pound genuine HMV voucher . answer 4 easy question . Play ! Send HMV 86688 info : www.100percent-real.com,1
273,"Usf guess , might well take 1 car",0
274,objection . bf coming .,0
275,Thanx ...,0
276,Tell rob mack gf theater,0
277,"Awesome , 'll see bit",0
278,sent . type food like ?,0
279,done ? handed ? Celebrations full swing yet ?,0
280,got called tool ?,0
281,\Wen u miss someone,0
282,Ok . asked money far,0
283,Okie ...,0
284,"Yeah think usual guy 's still passed last night , get ahold anybody let know 'll throw",0
285,"K , might come tonight class let early",0
286,Ok ..,0
287,hi baby im cruisin girl friend r u 2 ? give call hour home thats alright fone fone love jenny xxx,0
288,"life Means lot , love life , love people life , world call friend , call World : - ) .. Ge : - ) ..",0
289,"Dear , shall mail tonite.busy street , shall update tonite.things looking ok.varunnathu edukkukayee raksha ollu.but good one real sense .",0
290,Hey told name gautham ah ?,0
291,Haf u found ? feel stupid da v cam working .,0
292,Oops . 4 got bit .,0
293,much buzy,0
294,accidentally deleted message . Resend please .,0
295,T-Mobile customer may claim FREE CAMERA PHONE upgrade & pay & go sim card loyalty . Call 0845 021 3680.Offer end 28thFeb.T & C 's apply,1
296,Unless 's situation GO GURL would appropriate,0
297,Hurt ... Tease ... Make cry ... end life die plz keep one rose grave say STUPID MISS U .. NICE DAY BSLVYL,0
298,cant pick phone right . Pls send message,0
299,Need coffee run tomo ? Ca n't believe 's time week already,0
300,"Awesome , remember last time got somebody high first time diesel : V",0
301,"Shit really shocking scary , cant imagine second . Def night . u think somewhere could crash night , save taxi ?",0
302,Oh way food fridge ! Want go meal tonight ?,0
303,womdarfull actor,0
304,"SMS . ac Blind Date 4U ! : Rodds1 21/m Aberdeen , United Kingdom . Check http : //img . sm . ac/W/icmb3cktz8r7 ! -4 Blind Dates send HIDE",1
305,Yup ... remb ... think book ...,0
306,Jos ask u wana meet ?,0
307,Lol yes . friendship hanging thread cause u wo n't buy stuff .,0
308,"TheMob > Check newest selection content , Games , Tones , Gossip , babe sport , Keep mobile fit funky text WAP 82468",1
309,garage key ? n't bookshelf,0
310,Today ACCEPT DAY .. U Accept ? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd rply mean enemy,0
311,"Think ur smart ? Win ï¿½200 week weekly quiz , text PLAY 85222 ! & Cs WinnersClub PO BOX 84 , M26 3UZ . 16+ . GBP1.50/week",1
312,say 'll give call friend 's got money 's definitely buying end week,0
313,"Hi way u 2day , normal way & real . UR unique & hope know u 4 rest mylife . Hope u find wot lost .",0
314,made day . great day .,0
315,K.k : ) advance happy pongal .,0
316,"Hmmm ... Guess go 4 kb n power yoga ... Haha , dunno tahan power yoga anot ... Thk got lo oso , forgot liao ...",0
317,"really dude , friend 'm afraid : (",0
318,December ! mobile 11mths+ ? entitled update latest colour camera mobile Free ! Call Mobile Update Co FREE 08002986906,1
319,"Coffee cake , guess ...",0
320,"Merry Christmas babe , love ya * kiss *",0
321,Hey ... dont go watch x men lunch ... Haha,0
322,cud u tell ppl im gona b bit l8 co 2 bus hav gon past co full & im still waitin 4 1 . Pete x,0
323,would great . 'll Guild . Could meet Bristol road somewhere - get touch weekend . plan take flight ! good week,0
324,problem . ?,0
325,call .. message .. missed call,0
326,Hi da : ) today class ?,0
327,"'d say 's good sign , well , know track record reading woman",0
328,"Cool , text 're parked",0
329,'m reading text sent . meant joke . read light,0
330,K.k : ) apo k.good movie .,0
331,Maybe could get book tomo return immediately .. ? something .,0
332,Call Germany 1 penny per minute ! Call fixed line via access number 0844 861 85 85 . prepayment . Direct access !,1
333,chance might evaporated soon violated privacy stealing phone number employer 's paperwork . cool . Please contact report supervisor .,0
334,Valentines Day Special ! Win ï¿½1000 quiz take partner trip lifetime ! Send GO 83600 . 150p/msg rcvd . CustCare:08718720201 .,1
335,"Ta-Daaaaa ! home babe , still ?",0
336,Cool . come havent wined dined ?,0
337,sleeping .. surfing,0
338,"Sorry , 'll call later",0
339,U calling right ? Call hand phone ...,0
340,Ok 's great thanx lot .,0
341,take post come ! must 1000 text ! Happy reading . one wiv hello caroline end favourite . Bless,0
342,u hiding stranger ?,0
343,interested like .,0
344,sister cleared two round birla soft yesterday .,0
345,Gudnite .... tc ... practice going,0
346,Dis yijue . jus saw ur mail . case huiming havent sent u num . Dis num .,0
347,One small prestige problem .,0
348,Fancy shag ? do.Interested ? sextextuk.com txt XXUK SUZY 69876 . Txts cost 1.50 per msg . TnCs website . X,1
349,checking . Really miss seeing Jeremiah . great month,0
350,"Nah ca n't help , 've never iphone",0
351,'re car hour half 'm going apeshit,0
352,"TODAY Sorry day . ! ever angry , ever misbehaved hurt ? plz plz SLAP URSELF Bcoz , ur fault , 'm basically GOOD",0
353,Yo guy ever figure much need alcohol ? Jay trying figure much safely spend weed,0
354,& lt ; # & gt ; ISH MINUTES 5 MINUTES AGO . WTF .,0
355,"Thank calling.Forgot say Happy Onam Sirji.I fine remembered met insurance person.Meet Qatar Insha Allah.Rakhesh , ex Tata AIG joined TISSCO , Tayseer .",0
356,Congratulations ur awarded 500 CD voucher 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC 87066 TnCs www.Ldew.com1win150ppmx3age16,1
357,Ur cash-balance currently 500 pound - maximize ur cash-in send CASH 86688 150p/msg . CC : 08708800282 HG/Suite342/2Lands Row/W1J6HL,1
358,"'m actor . work , work evening sleep late . Since 'm unemployed moment , ALWAYS sleep late . 're unemployed , every day saturday .",0
359,"Hello ! got , st andrews-boy long way ! cold . keep posted",0
360,Ha ha cool cool chikku chikku : - ) : -DB- ),0
361,Oh ok prob ..,0
362,Check audrey 's status right,0
363,Busy . Trying finish new year . looking forward finally meeting ...,0
364,"Good afternoon sunshine ! dawn day ? refreshed happy alive ? breathe air smile ? think , love ... always",0
365,Well know Z take care . worry .,0
366,"Update_Now - Xmas Offer ! Latest Motorola , SonyEricsson & Nokia & FREE Bluetooth ! Double Mins & 1000 Txt Orange . Call MobileUpd8 08000839402 call2optout/F4Q=",1
367,discount code RP176781 . stop message reply stop . www.regalportfolio.co.uk . Customer Services 08717205546,1
368,Wat uniform ? get ?,0
369,"Cool , text 're ready",0
370,"Hello boytoy ... Geeee miss already woke . wish bed , cuddling . love ...",0
371,spoil bed well : ),0
372,'m going bath msg next & lt ; # & gt ; min ..,0
373,cant keep talking people sure pay agree price . pls tell want really buy much willing pay,0
374,"Thanks Ringtone Order , Reference T91 . charged GBP 4 per week . unsubscribe anytime calling customer service 09057039994",1
375,say happen,0
376,could seen .. did't recognise Face . : ),0
377,Well 's lot thing happening Lindsay New year * sigh * bar Ptbo blue heron something going,0
378,Keep payasam rinu brings,0
379,taught Ranjith sir called . sm like . Becaus he verifying project . Prabu told today pa dont mistake ..,0
380,"guess 's worried . must know 's way body repair . 'm quite sure n't worry . 'll take slow . First test , guide ovulation relax . Nothing 've said reason worry i.ll keep followin .",0
381,"Yeah sure , give couple minute track wallet",0
382,Hey leave . big deal : - ) take care .,0
383,Hey late ah ... Meet 945+,0
384,"Double min txts 4 6months FREE Bluetooth Orange . Available Sony , Nokia Motorola phone . Call MobileUpd8 08000839402 call2optout/N9DX",1
385,took Mr owl 3 lick,0
386,Customer place call .,0
387,Mm time dont like fun,0
388,4mths half price Orange line rental & latest camera phone 4 FREE . phone 11mths ? Call MobilesDirect free 08000938767 update ! or2stoptxt,1
389,Yup lunch buffet .. U eat already ?,0
390,Huh late ... Fr dinner ?,0
391,Hey sat going intro pilate ? kickboxing ?,0
392,Morning ok .,0
393,Yes think . office lap room think thats last day . didnt shut,0
394,Pick bout 7.30ish ? time going ?,0
395,performance award calculated every two month.not current one month period ..,0
396,actually sleeping still might u call back . text gr8 . rock si . send u text wen wake .,0
397,"always putting business . put picture as facebook . one open people 've ever met . would think picture room would hurt , make feel violated .",0
398,"Good evening Sir , Al Salam Wahleykkum.sharing happy news.By grace God , got offer Tayseer , TISSCO joined.Hope fine.Inshah Allah , meet sometime.Rakhesh , visitor India .",0
399,Hmmm ... k ... want change field quickly da : - ) wan na get system administrator network administrator ..,0
400,"FREE RINGTONE text FIRST 87131 poly text GET 87131 true tone ! Help ? 0845 2814032 16 1st free , tone 3xï¿½150pw eï¿½nd txt stop",1
401,Dear chechi . talk,0
402,hair cream shipped .,0
403,None 's happening til get though,0
404,"Yep , great loxahatchee xmas tree burning & lt ; # & gt ; start hour",0
405,"Haha get used driving usf man , know lot stoner",0
406,well slightly disastrous class pm fav darling ! Hope day ok. Coffee wld good ca n't stay late tomorrow . time + place always ?,0
407,Hello ! Good week ? Fancy drink something later ?,0
408,Headin towards busetop,0
409,Message : text missing * Sender : Name Missing * * Number Missing * Sent : Date missing * Missing U lot thats everything missing sent via fullonsms.com,0
410,Come room point iron plan weekend,0
411,Cos want thing,0
412,"Okies ... 'll go yan jiu ... skip ard oso , go cine den go mrt one , blah blah blah ...",0
413,Bring home Wendy =D,0
414,100 dating service cal ; l 09064012103 box334sk38ch,1
415,Whatsup . Dont u want sleep,0
416,Alright new goal,0
417,FREE entry ï¿½250 weekly competition text word WIN 80086 . 18 & C www.txttowin.co.uk,1
418,"Alright , 'll head minute , text meet",0
419,Send logo 2 ur lover - 2 name joined heart . Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 87077 Yahoo ! POBox36504W45WQ TxtNO 4 ad 150p,1
420,Yes : ) last week 'm taking live call .,0
421,Someone contacted dating service entered phone fancy ! find call landline 09111032124 . PoBox12n146tf150p,1
422,Siva hostel aha : - .,0
423,URGENT ! Mobile number awarded ï¿½2000 prize GUARANTEED . Call 09058094455 land line . Claim 3030 . Valid 12hrs,1
